Dataset,Disease,Tissue,Cell_type,CpG,Direction
GSE157341,Liver Cancer,liver,Chol,cg21949512,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22037648,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22049858,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22111705,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22191741,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22220467,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22257786,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22303418,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22379436,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22399111,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22487322,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22491379,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22550549,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22615730,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22682811,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22708961,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22720392,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22732253,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22751264,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22973172,Hypo
GSE157341,Liver Cancer,liver,Chol,cg22977072,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23107419,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23180489,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23288725,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23344136,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23347911,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23362554,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23371436,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23465685,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23516002,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23551605,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23625715,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23677584,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23731992,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23737737,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23755884,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23757721,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23947545,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23962746,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23971987,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23994043,Hypo
GSE157341,Liver Cancer,liver,Chol,cg23994511,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24024660,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24035898,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24186398,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24276681,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24298409,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24367840,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24405068,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24485284,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24517066,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24555591,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24691330,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24700485,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24707023,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24708988,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24815973,Hypo
GSE157341,Liver Cancer,liver,Chol,cg24864275,Hypo
GSE157341,Liver Cancer,liver,Chol,cg25045785,Hypo
GSE157341,Liver Cancer,liver,Chol,cg25193073,Hypo
GSE157341,Liver Cancer,liver,Chol,cg25204176,Hypo
GSE157341,Liver Cancer,liver,Chol,cg25216538,Hypo
GSE157341,Liver Cancer,liver,Chol,cg25358410,Hypo
GSE157341,Liver Cancer,liver,Chol,cg25403283,Hypo
GSE157341,Liver Cancer,liver,Chol,cg25428846,Hypo
GSE157341,Liver Cancer,liver,Chol,cg25461801,Hypo
GSE157341,Liver Cancer,liver,Chol,cg25463742,Hypo
GSE157341,Liver Cancer,liver,Chol,cg25478037,Hypo
GSE157341,Liver Cancer,liver,Chol,cg25509732,Hypo
GSE157341,Liver Cancer,liver,Chol,cg25710107,Hypo
GSE157341,Liver Cancer,liver,Chol,cg25754852,Hypo
GSE157341,Liver Cancer,liver,Chol,cg25887619,Hypo
GSE157341,Liver Cancer,liver,Chol,cg25905215,Hypo
GSE157341,Liver Cancer,liver,Chol,cg26090406,Hypo
GSE157341,Liver Cancer,liver,Chol,cg26472690,Hypo
GSE157341,Liver Cancer,liver,Chol,cg26541649,Hypo
GSE157341,Liver Cancer,liver,Chol,cg26663651,Hypo
GSE157341,Liver Cancer,liver,Chol,cg26689934,Hypo
GSE157341,Liver Cancer,liver,Chol,cg26697477,Hypo
GSE157341,Liver Cancer,liver,Chol,cg26698460,Hypo
GSE157341,Liver Cancer,liver,Chol,cg26765385,Hypo
GSE157341,Liver Cancer,liver,Chol,cg26830108,Hypo
GSE157341,Liver Cancer,liver,Chol,cg26884320,Hypo
GSE157341,Liver Cancer,liver,Chol,cg26923490,Hypo
GSE157341,Liver Cancer,liver,Chol,cg26952618,Hypo
GSE157341,Liver Cancer,liver,Chol,cg26956535,Hypo
GSE157341,Liver Cancer,liver,Chol,cg26979299,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27017251,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27067425,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27095915,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27174778,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27221338,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27258272,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27272402,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27311970,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27393726,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27410595,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27478313,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27549186,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27574071,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27599376,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27607438,Hypo
GSE157341,Liver Cancer,liver,Chol,cg27618305,Hypo
GSE157341,Liver Cancer,liver,EC,cg00043005,Hyper
GSE157341,Liver Cancer,liver,EC,cg00097800,Hyper
GSE157341,Liver Cancer,liver,EC,cg00679184,Hyper
GSE157341,Liver Cancer,liver,EC,cg01181105,Hyper
GSE157341,Liver Cancer,liver,EC,cg01355875,Hyper
GSE157341,Liver Cancer,liver,EC,cg02018089,Hyper
GSE157341,Liver Cancer,liver,EC,cg03307425,Hyper
GSE157341,Liver Cancer,liver,EC,cg03772909,Hyper
GSE157341,Liver Cancer,liver,EC,cg04984818,Hyper
GSE157341,Liver Cancer,liver,EC,cg05477444,Hyper
GSE157341,Liver Cancer,liver,EC,cg05745622,Hyper
GSE157341,Liver Cancer,liver,EC,cg07507257,Hyper
GSE157341,Liver Cancer,liver,EC,cg07554771,Hyper
GSE157341,Liver Cancer,liver,EC,cg07688052,Hyper
GSE157341,Liver Cancer,liver,EC,cg07751222,Hyper
GSE157341,Liver Cancer,liver,EC,cg08015702,Hyper
GSE157341,Liver Cancer,liver,EC,cg08873940,Hyper
GSE157341,Liver Cancer,liver,EC,cg09702779,Hyper
GSE157341,Liver Cancer,liver,EC,cg10507988,Hyper
GSE157341,Liver Cancer,liver,EC,cg11992783,Hyper
GSE157341,Liver Cancer,liver,EC,cg13894813,Hyper
GSE157341,Liver Cancer,liver,EC,cg14344989,Hyper
GSE157341,Liver Cancer,liver,EC,cg16370660,Hyper
GSE157341,Liver Cancer,liver,EC,cg18416096,Hyper
GSE157341,Liver Cancer,liver,EC,cg18776793,Hyper
GSE157341,Liver Cancer,liver,EC,cg20287790,Hyper
GSE157341,Liver Cancer,liver,EC,cg24721350,Hyper
GSE157341,Liver Cancer,liver,EC,cg24836607,Hyper
GSE157341,Liver Cancer,liver,EC,cg26915558,Hyper
GSE157341,Liver Cancer,liver,EC,cg27235337,Hyper
GSE157341,Liver Cancer,liver,EC,cg27460056,Hyper
GSE157341,Liver Cancer,liver,EC,cg27573549,Hyper
GSE157341,Liver Cancer,liver,EC,cg00762029,Hypo
GSE157341,Liver Cancer,liver,EC,cg01538769,Hypo
GSE157341,Liver Cancer,liver,EC,cg03266380,Hypo
GSE157341,Liver Cancer,liver,EC,cg03347934,Hypo
GSE157341,Liver Cancer,liver,EC,cg03584891,Hypo
GSE157341,Liver Cancer,liver,EC,cg04345366,Hypo
GSE157341,Liver Cancer,liver,EC,cg04961553,Hypo
GSE157341,Liver Cancer,liver,EC,cg05647756,Hypo
GSE157341,Liver Cancer,liver,EC,cg06615610,Hypo
GSE157341,Liver Cancer,liver,EC,cg07751222,Hypo
GSE157341,Liver Cancer,liver,EC,cg09702779,Hypo
GSE157341,Liver Cancer,liver,EC,cg09804178,Hypo
GSE157341,Liver Cancer,liver,EC,cg09896867,Hypo
GSE157341,Liver Cancer,liver,EC,cg12581970,Hypo
GSE157341,Liver Cancer,liver,EC,cg15369531,Hypo
GSE157341,Liver Cancer,liver,EC,cg15702838,Hypo
GSE157341,Liver Cancer,liver,EC,cg16362587,Hypo
GSE157341,Liver Cancer,liver,EC,cg16791218,Hypo
GSE157341,Liver Cancer,liver,EC,cg17846122,Hypo
GSE157341,Liver Cancer,liver,EC,cg18062128,Hypo
GSE157341,Liver Cancer,liver,EC,cg21655280,Hypo
GSE157341,Liver Cancer,liver,EC,cg23255020,Hypo
GSE157341,Liver Cancer,liver,EC,cg24462247,Hypo
GSE157341,Liver Cancer,liver,EC,cg25372722,Hypo
GSE157341,Liver Cancer,liver,EC,cg25852273,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00021783,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00029640,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00079169,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00082235,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00114012,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00164949,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00208218,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00232827,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00259518,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00264419,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00319761,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00369852,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00376735,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00397144,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00399059,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00465739,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00566187,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00639041,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00679184,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00679960,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00692774,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00700239,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00704780,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00847221,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00870778,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00922310,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00981443,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00997280,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01009920,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01150641,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01158079,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01205935,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01262413,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01275887,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01310019,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01321088,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01457169,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01525538,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01579289,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01708648,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01723606,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01782059,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01791000,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01817019,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01829342,Hyper
GSE157341,Liver Cancer,liver,Hep,cg01979888,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02025034,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02118886,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02185402,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02296992,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02329386,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02350039,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02380914,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02458113,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02478828,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02482730,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02614683,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02660643,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02702692,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02706273,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02715115,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02790486,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02821464,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02839351,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02863087,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02865033,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02872476,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02883503,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02953007,Hyper
GSE157341,Liver Cancer,liver,Hep,cg02971328,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03048083,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03099728,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03175653,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03184424,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03186993,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03304815,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03313945,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03325598,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03358980,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03370752,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03375453,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03497652,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03502812,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03606898,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03654391,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03695448,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03743720,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03752060,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03768777,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03833068,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03948236,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03983270,Hyper
GSE157341,Liver Cancer,liver,Hep,cg03986691,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04053485,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04085768,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04089703,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04092393,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04118849,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04207632,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04280548,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04343292,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04345366,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04416111,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04470085,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04499701,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04546061,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04566694,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04614823,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04652441,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04720283,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04801430,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04803944,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04819180,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04940214,Hyper
GSE157341,Liver Cancer,liver,Hep,cg04962978,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05046936,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05067156,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05070742,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05088605,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05157961,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05201673,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05207620,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05215748,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05219493,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05279229,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05286196,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05333149,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05346193,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05351785,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05361096,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05369142,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05388880,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05394800,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05396178,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05453924,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05476287,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05477444,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05614952,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05666820,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05709782,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05791356,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05798501,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05800014,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05899224,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05903720,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05954918,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05977156,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05985447,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05987309,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05991442,Hyper
GSE157341,Liver Cancer,liver,Hep,cg05998930,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06051411,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06053376,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06147743,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06189670,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06267617,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06270206,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06297023,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06328338,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06355272,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06378494,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06408043,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06419959,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06493973,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06494464,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06579248,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06638795,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06658821,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06732667,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06872705,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06932535,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06933824,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06966245,Hyper
GSE157341,Liver Cancer,liver,Hep,cg06981033,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07004820,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07044414,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07065008,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07140595,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07196426,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07225966,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07267550,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07293584,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07294624,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07306604,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07554771,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07556730,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07566790,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07591090,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07628073,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07636037,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07723431,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07812289,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07838002,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07891457,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07913044,Hyper
GSE157341,Liver Cancer,liver,Hep,cg07999732,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08017323,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08037817,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08051105,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08115732,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08243094,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08304084,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08351085,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08462501,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08464208,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08550881,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08555866,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08573038,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08622675,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08629856,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08691159,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08766762,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08866991,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08873940,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08875705,Hyper
GSE157341,Liver Cancer,liver,Hep,cg08903089,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09012544,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09013267,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09017718,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09035101,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09071459,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09099868,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09126720,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09140531,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09243037,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09269891,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09287629,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09304968,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09325360,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09409930,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09440270,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09476092,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09533178,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09570614,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09575189,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09642740,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09645818,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09706277,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09743500,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09804178,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09869811,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09884635,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09917506,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09964625,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09976989,Hyper
GSE157341,Liver Cancer,liver,Hep,cg09977718,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10030658,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10152624,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10172584,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10246081,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10328047,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10334767,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10402804,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10433625,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10438282,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10440196,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10505257,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10558740,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10613440,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10614856,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10755723,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10774647,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10798682,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10925829,Hyper
GSE157341,Liver Cancer,liver,Hep,cg10975863,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11009596,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11049863,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11152033,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11265725,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11344073,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11378101,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11399195,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11479877,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11570575,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11726572,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11767757,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11835512,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11846580,Hyper
